asset_id,asset_name,symbol,gecko_id,pegType,pegMechanism,current_circulating,price,off_peg,market_cap,total_volume,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,market_cap_percentage
1,Tether,USDT,tether,peggedUSD,fiat-backed,86651790617.24562,1.001,0.0009999999999998899,86738442407.86285,29860460441.0,1.32,-24.38124,2018-07-24T00:00:00.000Z,0.572521,74.75485,2015-03-02T00:00:00.000Z,0.6997865691971009
2,USD Coin,USDC,usd-coin,peggedUSD,fiat-backed,23520370847.732758,0.999443,-0.0005570000000000297,23507270001.17057,8661827312.0,1.17,-14.70409,2019-05-08T00:40:28.300Z,0.877647,13.97188,2023-03-11T08:02:13.981Z,0.18965145521010512
3,TerraClassicUSD,USTC,terrausd,peggedUSD,algorithmic,9790075336.71672,0.01434338,-0.98565662,140422770.78315586,78660788.0,1.092,-98.68619,2021-01-11T22:30:57.984Z,0.00601921,138.32957,2022-06-18T20:35:39.169Z,0.0011328998570371805
4,Binance USD,BUSD,binance-usd,peggedUSD,fiat-backed,1883905625.45,0.999099,-0.0009010000000000407,1882208226.4814696,4431536430.0,1.15,-13.38629,2020-03-13T02:35:42.953Z,0.901127,10.93872,2021-05-19T13:04:37.445Z,0.015185239678740511
5,Dai,DAI,dai,peggedUSD,crypto-backed,5261471182.887059,0.99939,-0.0006099999999999994,5258261685.465498,201781631.0,1.22,-18.03192,2020-03-13T03:02:50.373Z,0.88196,13.28564,2023-03-11T07:50:50.514Z,0.04242249229597538
6,Frax,FRAX,frax,peggedUSD,algorithmic,671723780.5594406,0.999257,-0.0007430000000000492,671224689.7904849,8626532.0,1.14,-12.38588,2021-02-07T12:55:35.766Z,0.874536,14.25441,2023-03-11T07:50:39.316Z,0.005415292340853611
7,TrueUSD,TUSD,true-usd,peggedUSD,fiat-backed,3308794278.1199994,0.998866,-0.0011339999999999684,3305042105.4086113,205088381.0,1.62,-38.30368,2018-08-26T20:41:09.375Z,0.88355,13.01715,2020-03-12T10:47:51.380Z,0.026664348722339953
8,Liquity USD,LUSD,liquity-usd,peggedUSD,crypto-backed,211079614.5396938,0.998455,-0.0015450000000000186,210753496.53522998,2543020.0,1.16,-13.9061,2021-04-05T14:47:52.665Z,0.896722,11.21024,2022-01-27T09:42:06.510Z,0.00170031259718946
9,Fei USD,FEI,fei-usd,peggedUSD,algorithmic,12590780.012468334,1.001,0.0009999999999998899,12603370.792480802,47747.0,1.6,-37.46493,2023-04-23T10:41:30.842Z,0.398754,151.18419,2023-08-04T12:04:37.588Z,0.00010168120803596057
10,Magic Internet Money,MIM,magic-internet-money,peggedUSD,crypto-backed,48584242.84451434,0.993012,-0.006987999999999994,48244736.15551688,567195.0,1.041,-4.55907,2021-10-06T13:25:17.751Z,0.876409,13.37086,2023-03-11T08:02:51.714Z,0.0003892278608985956
11,Pax Dollar,USDP,paxos-standard,peggedUSD,fiat-backed,472533274.4406834,1.0,0.0,472533274.4406834,4003357.0,1.13,-11.30878,2018-10-15T07:09:12.459Z,0.863529,15.82106,2021-05-19T13:14:42.046Z,0.0038122939468687358
13,YUSD Stablecoin,YUSD,yusd-stablecoin,peggedUSD,crypto-backed,12258919.695986489,1.001,0.0009999999999998899,12271178.615682473,66.02,4.17,-76.00285,2023-04-23T12:46:10.492Z,0.83116,20.49684,2023-09-23T16:36:24.724Z,9.900115502529288e-05
14,USDD,USDD,usdd,peggedUSD,algorithmic,101852356.32065444,0.997428,-0.0025720000000000187,101590392.06019771,26008091.0,1.052,-5.14587,2023-10-23T22:45:25.398Z,0.928067,7.50235,2022-06-19T16:15:11.558Z,0.0008196088141507796
